tipo	color	Titulo grande	copete	texto	variables	diccionario
hero	verde	[result]. EL PARTIDO FUE MUY CÓMODO.	¡VIVA EL FÚTBOL!	Tu equipo no tuvo que hacer grandes esfuerzos para vencer a su oponente.	played_difGoles=2	[team1] y [team2]
hero	verde	[result]. ¡EL EQUIPO MARCÓ DOS GOLES ESPECTACULARES!	GRAN ALEGRÍA	Los aficionados acabaron rompiendo una de las gradas durante la celebración. Hubo heridos leves y un hombre perdió su dentadura postiza, aunque también afirmó que posiblemente se la había tragado.	played_difGoles=2	[team1] y [team2]
hero	verde	[result]. ¡UN RESULTADO INCREÍBLE!	JUEGO TERMINADO	[goleador_team1], quien marcó un gran gol, corrió hacia la cámara y gritó "¡Esto es para ti, mamá!" con gran emoción.	played_difGoles=3	[team1] y [team2]
hero	verde	[result]. ¡GANAMOS POR TRES GOLES!	CRUZ DE ORO	Derrotaste al rival con un fútbol caballeroso: sin gritos, golpes ni faltas. ¡Enhorabuena por esta victoria llena de buenos valores!	played_difGoles=3	[team1] y [team2]
hero	rojo	UNA COMBINACIÓN EXQUISITA.	FÚTBOL GOURMET	"Nos dio pena por unos segundos, pero luego lo superamos", declaró [goleador_team1].	played_difGoles=4	[equipo] tu equipo
hero	rojo	[result]. ¿HAY ALGO MÁS HERMOSO QUE EL FÚTBOL?	DEBATES	¿Acaso no es esta la magia que surge al ver a dos grupos de personas corriendo con una pelota?	played_difGoles=4	[equipo] tu equipo
hero	rojo	FINAL DEL JUEGO.	DESTRUCTORES	Hay hoteles a punto de ser demolidos que ofrecen servicios a sus clientes para que participen en la demolición. Se podría decir que el hotel al que fue tu equipo es el hotel del equipo contrario. Y lo único que quedó fue polvo.	played_difGoles=4	[equipo] tu equipo
hero	rojo	GANAR [result].	DILO	Lo que sucedió fue impredecible.	played_difGoles=4	[equipo] tu equipo
hero	rojo	ESTE EQUIPO ES PROMETEDOR.	TRAIGA PATROCINADORES.	"Siempre venimos a verlos." gritaron emocionados los aficionados después de este partido y los goles de [goleador_team1].	played_difGoles=4	[equipo] tu equipo
hero	rojo	[result]. ¡Dios mío!	MILAGROS	El equipo realizó una ceremonia de celebración de goles. Los aficionados iniciarán un proceso de beatificación para canonizar a [goleador_team1].	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. LLUVIA DE GOLES.	UNA INUNDACIÓN	[goleador_team1] es un cazador furtivo puro.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. ¡GANAMOS POR CINCO GOLES!	GENIO.	El equipo contrario no pudo hacer nada.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. MUCHAS GRACIAS.	Ídolos	El director técnico escribirá un libro donde nos revelará toda su sabiduría a nosotros, simples mortales.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. LOS OPONENTES NO PUDIERON HACER NADA.	¡MEJOR SUERTE LA PRÓXIMA VEZ!	Hicieron todo lo posible por marcar la diferencia, pero el equipo fue superior.	played_difGoles=5	[team1] y [team2]
hero	rojo	[result]. TODO EL EQUIPO RECIBE EL PREMIO AL JUGADOR DEL PARTIDO.	ÉXITO TOTAL	"¡Jajajaja!" rió [goleador_team1], ¡máximo goleador del partido!	played_difGoles=6	[team1] y [team2]
hero	rojo	[result]. CANIBALISMO.	GRAN APETITO	El equipo tuvo un festín. "La próxima vez, aumenten sus estadísticas", dijo [goleador_team1] burlonamente a sus oponentes.	played_difGoles=6	[team1] y [team2]
hero	rojo	[result]. ESTE EQUIPO JUEGA UN FÚTBOL DE ALTO NIVEL.	VOLAR	Un poeta comparó al equipo con un águila que vuela alto en busca de pequeñas presas. Aclaró que los oponentes serían la presa, pero que todo está bien.	played_difGoles=6	[team1] y [team2]
hero	rojo	[result]. EL MEJOR DEPORTE DEL MUNDO.	NOSTALGIA	[goleador_team1] hizo un antes y un después. En el futuro, los niños leerán sobre este juego en los libros de historia.	played_difGoles=6	[team1] y [team2]
hero	rojo	¡MASACRE TOTAL!	TENGO MIEDO	[result]. Fue una masacre. El equipo contrario está considerando demandar por daños psicológicos.	played_difGoles=7	[team1] y [team2]
hero	rojo	[result] ¡MANOS ARRIBA, ESTO ES UN ASALTO!	CORRER	En este partido, el equipo acaparó todos los balones, pases, centros y se ganó el corazón de la gente.	played_difGoles=7	[team1] y [team2]
hero	rojo	[result] ¿CÓMO EXPLICO ESTO?	INCREÍBLE	Los editores están completamente atónitos por lo que acaba de suceder.	played_difGoles=7	[team1] y [team2]
hero	rojo	¡UN PARTIDO INOLVIDABLE!	SUEÑO CUMPLIDO	[goleador_team1] es el jugador del momento. Tras este partido recibió numerosas ofertas de otros clubes, pero es fiel a tu equipo. Así es el fútbol.	played_difGoles=7	[team1] y [team2]
hero	rojo	EL MEJOR PARTIDO DE LA HISTORIA.	UN DÍA INOLVIDABLE	[result]. Un mar de lágrimas inundó la multitud. Los científicos mencionaron que este nuevo afluente limpiará los ríos adyacentes. Un verdadero triunfo de la vida.	played_difGoles=7	[team1] y [team2]
caja_1_tercio	amarillo	"YA NO JUEGO MÁS"				[random] jugador random de ambos equipos
caja_1_tercio	amarillo	"NO HABLARÉ SIN MI REPRESENTANTE"				
caja_1_tercio	amarillo	"HE VENIDO PARA APRENDER Y CONTRIBUIR"				
caja_1_tercio	amarillo	"LOS HECHOS HABLAN MÁS QUE LAS PALABRAS"				
caja_1_tercio	amarillo	"FULBO ME RESCATÓ DE UN FUTURO INCIERTO"				
caja_1_tercio	amarillo	"FULBO ME HIZO MEJOR PERSONA"				
caja_1_tercio	amarillo	"GANAR. PASE LO QUE PASE"				
caja_1_tercio	amarillo	"FUE UN PARTIDO DIFÍCIL"				
caja_1_tercio	amarillo	"ESTE ES FULBO"				
caja_1_tercio	amarillo	"TENEMOS QUE GANAR"				
caja_1_tercio	amarillo	"EL ÁRBITRO FUE MUY INJUSTO"				
caja_1_tercio	amarillo	"CADA PARTIDO ES UNA FINAL"				
caja_1_tercio	amarillo	"EL EQUIPO ES FUERTE"				
caja_1_tercio	amarillo	"CUALQUIERA PUEDE TENER UN MAL DÍA"				
caja_1_tercio	verde	"ME HICE PIPI"				[goleador_team1] 
caja_1_tercio	rosa	"NO ME GUSTA PERDER"				
caja_1_tercio	verde	"GANAR ES FÁCIL"				
caja_1_tercio	rosa	"EL SEGUNDO LUGAR ES PARA LOS PERDEDORES"				
caja_1_tercio	rosa	"HAZME UNA INFORMACIÓN ADECUADA"				
caja_1_tercio	rosa	"Vivo y duermo pensando en este juego"				
caja_1_tercio	amarillo	"Tú anotas, nosotros anotamos"				
caja_1_tercio	verde	"LA HIERBA ES MÁS VERDE EN MI LADO"				
caja_1_tercio	rosa	"SOLO TOCO PARA MÍ"				
caja_1_tercio	rosa	"HAY UN 'YO' EN 'EQUIPO'"				
caja_1_tercio	amarillo	"EXIJO LA REPETICIÓN"				
caja_1_tercio	rosa	"RESPETAR LOS COSTOS Y LOS OBJETIVOS"				
caja_1_tercio	amarillo	"¿SABES QUIÉN SOY?"				
caja_1_tercio	rosa	"LA DEFENSA GANA PARTIDOS"				
caja_1_tercio	verde	"¡FULBO ES LA VIDA!"				
caja_1_tercio	rosa	"JUEGO PARA LOS AFICIONADOS"				
caja_1_tercio	rosa	"NACÍ PARA MORIR JUGANDO A FULBO"				
caja_1_tercio	rosa	"MI FULBO NO CONOCE LÍMITES"				
caja_1_tercio	rosa	"SOLO EL MIEDO VENCE AL MIEDO"				
caja_1_tercio	verde	"SI NO ME MATA, ME HAGO MÁS FUERTE"				
caja_2_tercios	verde	"UN AFICIONADO GRITABA CADA VEZ QUE CENTRABA EL BALÓN"		El futbolista estaba distraído.		
caja_2_tercios	rosa	"NECESITAMOS UN CAMBIO DE RUMBO"		[randomly] ha exigido el uso del modo retrato para que sea posible correr de arriba abajo en lugar de de izquierda a derecha.		
caja_2_tercios	verde	SE EVITÓ UN DESASTRE EN EL TECHO		Anoche, de repente, se derrumbó el techo de un restaurante. ¡Debió de ser una comida enorme!		
caja_2_tercios	rosa	"[random] NO DEJÓ DE CAMINAR."		Los aficionados le pusieron un nuevo apodo; ahora al futbolista lo llamarán "Franklin" por su peculiar forma de caminar, como una tortuga.		
caja_2_tercios	rosa	"FALLÉ EL GOL PORQUE ME AHOGUÉ EN MI PROPIA SALIVA"		Un problema médico que le puede ocurrir a cualquiera.		
caja_2_tercios	rosa	"EL OTRO EQUIPO TENÍA NARCOLEPSIA"		Un rival ideal para anotar puntos.		
caja_2_tercios	rosa	"PODRÍAMOS GANAR SI LOS DEMÁS USARAN SUS PIERNAS"		La estrella de los Fulbos estaba muy enfadada con el rendimiento del resto del equipo.		
caja_2_tercios	rosa	"TENEMOS QUE TENER MÁS FE"		Parece que el futbolista está esperando un milagro para mejorar su rendimiento deportivo.		
caja_2_tercios	rosa	"NO QUERRÍA SER ÁRBITRO NI POR UN DÍA"		"¿Qué pasaría si los papeles se invirtieran?", preguntó el futbolista, con un tono algo filosófico en su declaración.		
caja_2_tercios	rosa	"LOS RESULTADOS NO IMPORTAN"		"Paz, amor e igualdad de objetivos es la nueva moda", gritó el futbolista con una sonrisa.		
caja_2_tercios	rosa	"ME GUSTARÍA SER CAPITÁN"		El futbolista tiene sueños ambiciosos que cumplir.		
caja_2_tercios	rosa	"NECESITO MEJORAR MIS ESTADÍSTICAS"		Gritó desesperadamente hacia la nada misma.		
caja_2_tercios	rosa	"NUNCA ME SUBEN LAS ESTADÍSTICAS"		El jugador cree que hay una conspiración en su contra.		
caja_2_tercios	verde	"LA HIERBA ESTABA DEMASIADO LARGA"		Esta fue la respuesta del jugador cuando se le preguntó sobre su actuación en el último partido.		
caja_2_tercios	rosa	"ME TORCÍ EL DEDO MEÑIQUE"		Parece que el futbolista necesitará un periodo de recuperación de aproximadamente 18 meses.		
caja_2_tercios	rosa	"SOÑÉ QUE GANÁBAMOS"		¿Hay algún médium en el equipo? ¡Quizás sea una buena señal!		
caja_2_tercios	naranja	"TENÍA RESACA, NO SE LO DIGAS A NADIE."		¡Buena suerte con los resultados del control antidopaje!		
caja_2_tercios	verde	COMERCIO DE HIERBAS		¡Jugador sorprendido vendiendo hierba de los campos de juego y obteniendo grandes beneficios!		
caja_2_tercios	naranja	"PROHIBIDOS LOS ZAPATOS DE PAYASO"		Se han prohibido los zapatos de talla extragrande por crear sanciones injustas y aprovecharse de los demás.		
caja_2_tercios	rosa	¡CULPABLE!		¡La jugadora fingió un embarazo para evitar repetir la copa!		
caja_2_tercios	rosa	HAZMERREÍR		¡El jugador patea el punto de penalti en lugar del balón!		
caja_2_tercios	naranja	PENALTI FALLADO		Se anuló la multa por exceso de velocidad tras haber sido enviada a la dirección equivocada.		
caja_2_tercios	verde	NO PISOTE EL CÉSPED		Esta semana se suspendieron diez partidos debido a que el césped no tenía la altura correcta.		
caja_2_tercios	rosa	AMOR Y GUERRA		¡Un día en el que se permite llevar a la pareja al trabajo genera un caos en el campo!		
caja_2_tercios	rosa	MALAS ESTADÍSTICAS		Ocho de cada diez jugadores no creen en las estadísticas de los partidos.	 	
caja_2_tercios	rosa	"¡INCREÍBLE!"		Un resbalón garrafal provoca que el penalti se marque en la portería equivocada.		
caja_2_tercios	rosa	OBLIGADO A RENUNCIAR		El jugador desarrolla un miedo irracional a los objetos redondos.		
caja_2_tercios	amarillo	SIENTO CALOR		Los jugadores se negaron a jugar en el estadio de la playa bajo el sol del mediodía.		
caja_2_tercios	rosa	¡NUEVO RÉCORD DE ASISTENCIA!		Una mujer hace historia al dar a luz en un estadio con todas las entradas vendidas.		
caja_2_tercios	verde	"¡DAME MÁS!"		El jugador mejor pagado de la liga exige más dinero.		
caja_2_tercios	verde	FINANCIACIÓN COLECTIVA		Toda la multitud invade el campo después de que un maletín lleno de dinero cayera del cielo.		
caja_2_tercios	rosa	PREPARACIÓN DEL TOCINO		Un cerdo fugitivo se convierte en la mascota del club y se vuelve muy popular.		
caja_2_tercios	rosa	LAGARTIJAS		El equipo estableció un nuevo récord mundial de flexiones. También establecieron un nuevo récord de goles encajados.		
caja_2_tercios	verde	CANINO NINGUNO		Un perro invade el campo y marca nueve goles en veinte minutos.		
caja_2_tercios	rosa	CHILLI CON GOAL BLITZ		Las investigaciones demuestran que los jugadores marcan más goles después de comer chile.		
caja_2_tercios	amarillo	CONFUSIÓN DE LA PELOTA		Un balón extra en el campo provoca caos y una avalancha de goles.		
caja_2_tercios	verde	¡MIRA QUIÉN ESTÁ ANOTANDO!		El árbitro anula todos los goles tras quedar cegado por el sol.		
caja_2_tercios	verde	LUCES DE CÉSPED		Una granja de cannabis presta el equipo de iluminación al equipo tras la avería del sistema del estadio.		
caja_2_tercios	amarillo	VIVITO Y COLEANDO		Un jugador burla a la muerte y anota un triplete en el mismo día.		
caja_2_tercios	rosa	EL AMOR ESTÁ POR TODAS PARTES		Los jugadores hacen un pacto y se niegan a marcar goles el día de San Valentín.		
caja_2_tercios	verde	"NO SOY UN DEFENSOR"		Todos los delanteros de la liga prometieron un aumento de sueldo.		
caja_2_tercios	rosa	"¿QUIÉN SOY YO?"		Las escenas de terror provocan pérdida de memoria.		
caja_2_tercios	amarillo	TRISTEZA DOMINICAL		Los jugadores se declaran en huelga en un intento por prohibir los partidos de los domingos.		
caja_2_tercios	rosa	"¡NO TODOS PODEMOS SER GANADORES!"		Ambos equipos recibieron los puntos después de que el partido fuera suspendido.		
caja_2_tercios	rosa	"NOS VEMOS EN LOS TRIBUNALES"		Árbitro demandado por decisión arbitral controvertida sobre un penalti.		
caja_2_tercios	amarillo	¡PROHIBICIÓN DE FRUTAS!		Una falta provocada por una cáscara de plátano conlleva una sanción por parte de la liga.		
caja_2_tercios	rosa	"SOY UNA PERSONA ORIENTADA A LOS OBJETIVOS"		La racha se extiende a diez partidos sin anotar.		
caja_2_tercios	rosa	"LOS CÁNTICOS PUEDEN HACER DAÑO"		Los jugadores protagonizan huelgas en toda la liga.		
caja_2_tercios	verde	BASES VEGETALES INCLUIDAS		El equipo sigue invicto desde que se hizo vegano.		
two_characters	rosa	NUEVOS ENEMIGOS		[1] odia [2] desde que robó unas espinilleras.	love	
two_characters	rosa	PELEA		[1] y [2] se golpean entre sí cuando el entrenador no está mirando.	love	
two_characters	rosa	MEJORES AMIGOS		[1] y [2] ¡compraron un collar de la amistad!	love	
two_characters	rosa	¡SON FAMILIA!		¡Parece que el primo segundo de [1] está saliendo con [2]!	love	
two_characters	rosa	COMPETICIÓN POR EQUIPOS		[1] y [2] siempre quieren estar en los titulares ¡y se pelean a muerte!	love	
two_characters	rosa	LLORAR JUNTOS		Al hablar del recorrido en el equipo, [1] y [2] comenzaron a llorar.	love	
two_characters	rosa	Tuvieron una fiesta de pijamas.		[1] y [2] tuvieron una noche de películas y ¡mascarillas faciales!	love	
two_characters	rosa	IRSE DE VACACIONES		[1] y [2] compraron juntos un paquete turístico a Camboya, ¡se van en 18 meses!	love	
two_characters	rosa	LA TRAMA SE COMPLICA		Se dice que [1] y [2] están conspirando contra el entrenador.	love	
two_characters	rosa	ELLOS VIVEN JUNTOS		[1] ¡invitó [2] a vivir en su apartamento de una habitación!	love	
two_characters	rosa	QUIEREN SER CAPITANES		[1] y [2] están compitiendo para ser el capitán del equipo.	love	
two_characters	rosa	FRUSTRACIONES MUTUAS		Se dice que [1] odia que [2] lo elija último cuando entrenan.	love	
two_characters	rosa	LA AMISTAD TERMINÓ		[1] y [2] dejaron de seguirse mutuamente en las redes sociales.	love	
two_characters	rosa	MALOS COMPAÑEROS DE PISO		Parece que [1] aprieta todos los botones del inodoro cuando [2] se está duchando.	love	
two_characters	rosa	SON DEL MISMO BARRIO		[1] y [2] se dieron cuenta de que vivían en la misma cuadra ¡pero nunca se habían visto!	love	
two_characters	rosa	¿PODEMOS IR A LA PLAYA?		[1] y [2] planean irse de viaje en febrero si el entrenador lo permite.	love	
two_characters	amarillo	COMIENZA		Actos de violencia entre [1] y [2] en el último juego.	love	
two_characters	rosa	SON ALMAS GEMELAS		[1] y [2] comparten el mismo color favorito: ¡beige!	love	
two_characters	violeta	UNA CASA DE TRES VÍAS		Parece que hay alguien nuevo en la vida de [1] que está destruyendo su relación con [2].	love	
two_characters	rosa	¡SE ENAMORARON!		"Sucedió mientras estábamos jugando", aclararon ambos jugadores al unísono.	love	
two_characters	rosa	¡TODO PASÓ!		[1] y [2] se besaron frente a las cámaras	love	
two_characters	rosa	"¡NO SOMOS NOSOTROS!"		[1] y [2] envían un comunicado de prensa afirmando que las fotografías reveladoras son falsas.	love	
two_characters	rosa	Jugadores no escuchados		[1] y [2] han lanzado su primer álbum de música country titulado 'The Fulbo Blues'. Hasta el momento, no se ha vendido ninguna copia.	love	
two_characters	rosa	LA MEJOR PROHIBICIÓN DE LA HISTORIA		El jugador superestrella, [1], ha recibido una sanción récord de 5 partidos por una falta sobre [2]. Según los rumores, no es inusual que estos jugadores se acerquen tanto.	love	
two_characters	rosa	EL COLOR DE LA LEALTAD		[1] y [2] están considerando cambiarse al equipo más nuevo del mundo de Fulbo Galaxy porque "usan camisetas rojas y amarillas".	love	
two_characters	rosa	CONTROL DE PORCIONES		[1] y [2] llamaron a la policía para quejarse del tamaño de las hamburguesas en un restaurante local.	conflict	
two_characters	rosa	PIEDRA SOBRE PIEDRA		Un Ferrari cubierto de diamantes fue entregado recientemente a la estrella de la liga, [1], ¡el mismo día que [2] compró un Porsche cubierto de esmeraldas!	conflict	
two_characters	rosa	¡AHORA ESTÁN COCINANDO!		[1] unió fuerzas con [2] este fin de semana para establecer un nuevo récord al cocinar el taco de fresa más grande del mundo. También fue el primer taco de fresa del mundo.	neutral	
two_characters	rosa	COMPAÑEROS DE EQUIPO EN GUERRA		La nueva película de Monsters at War entró en producción esta semana. [1] y [2] siguen luchando por ser considerados para el papel principal.	conflict	
two_characters	rosa	JUICIO POR COMBATE		[1] exige un duelo de espadas al amanecer para resolver una disputa de penalización con [2].		
two_characters	rosa	DOBLE CARA		[1] y [2] acaban de revelar nuevos tatuajes, ¡el uno del otro!		
two_characters	rosa	ASOCIACIÓN DEFENSIVA		[1] y [2] revelan una relación. ¿Se llevarán bien también fuera del campo?		
two_characters	rosa	ESTRELLAS ENTRE LAS ESTRELLAS		¿Podrían [1] y [2] ser los primeros jugadores en jugar en el espacio? Se rumorea que la NASA les ha ofrecido la oportunidad.		
two_characters	rosa	PISTA DE PIZZAS		[1] y [2] invierten en una nueva cadena de pizzerías llamada ¡GETAPIZZATHEBALL!		
two_characters	rosa	SIGUIENTE VIDA		[1] ha pagado para ser congelado cuando muera. [2] ofrece el uso de un refrigerador industrial de forma gratuita.		
two_characters	amarillo	PROBLEMAS CON EL COCHE		[1] varado después de [2] llevarse a casa el Ferrari equivocado.		
two_characters	violeta	SEGUNDOS DEPORTES		[1] y [2] se registran como equipo de dobles para el evento de Grand Slam de tenis en Nueva York.		
two_characters	rosa	COMPARTIR NOMBRES		[1] está considerando cambiar su nombre a [2]. ¡[2] no está contento!		
two_characters	rosa	DOS POR EL PRECIO DE UNO		[1] se niega a aceptar la transferencia a un nuevo equipo sin tomar [2].		
two_characters	violeta	LOS PADRES SE SEPARAN		[1] y [2] discuten sobre la custodia del niño adoptado.		
stats	amarillo	JUGADOR DEL PARTIDO			goleador	
stats	verde	MÁS AGRESIVO			agresividad	
caja_1_medio	violeta	GRACIAS A FULBO, [1] RECUPERARON SU SONRISA		Dientes bien cuidados. ¡Felicidades!		
caja_1_medio	rosa	"CADA DÍA MEJORO"		¡La estrella está mejorando su rendimiento gracias a sus estadísticas!		
caja_1_medio	rosa	[1] DIJO QUE YA ES SUFICIENTE		El futbolista no quiere que los aficionados tiren basura al campo.		
caja_1_medio	rosa	[1] Dio positivo en la prueba antidopaje		El futbolista perdió el respeto del equipo.		
caja_1_medio	rosa	[1]: ¿ESPÍA?		Parece que la estrella está vendiendo información a los equipos rivales.		
caja_1_medio	rosa	[1] NO LE TEME AL ÉXITO		La celebridad adopta poses de poder antes de comenzar cada combate.		
caja_1_medio	rosa	"ES UNA PENA"		El futbolista está enfadado por el mal desempeño de los rivales.		
caja_1_medio	rosa	[1] QUIERE TENER HIJOS		La estrella del fútbol planea retirarse para ampliar la familia.		
caja_1_medio	rosa	[1] NOMINADO A MEJOR Jugador		La estrella tiene posibilidades de ganar la Almeja de Oro al Mejor Jugador Fulbo.		
caja_1_medio	rosa	"QUIERO MARCAR MÁS GOLES"		El futbolista habló sobre su próximo partido.		
caja_1_medio	rosa	[1] QUIERE ABANDONAR EL EQUIPO		La estrella está cansada de estar en el banquillo.		
caja_1_medio	rosa	"QUIERO UN EQUIPO IGUALITARIO"		El futbolista es un aliado feminista y quiere revolucionar el fútbol.		
caja_1_medio	rosa	¡DESCONTROLADOR DE LA GALAXIA!		La estrella del deporte ha amenazado de forma sensacional con abandonar la Liga Fulbo. La advertencia llega en un momento en que la liga está considerando el uso de árbitros virtuales la próxima temporada.		
caja_1_medio	rosa	JUEGO PARA UN JUGADOR		Todos y cada uno de los jugadores en el campo recibieron una tarjeta roja anoche, lo que no dejó a los árbitros otra opción que suspender el partido. [1] se quedaron para entretener a la multitud con toques de balón.		
caja_1_medio	rosa	NO TODOS LOS MILAGROS SON IGUALES		Anoche se produjo un milagro en el Rio De Jamaica Arena. [1] anotaron cuatro goles en los últimos cinco minutos del partido. Aun así, perdieron 6-4.		
caja_1_medio	rosa	EL SONIDO DEL ÉXITO		Tras capitanear a su equipo para igualar el récord de 15 goles en un solo partido este fin de semana, [1] abandonaron el campo en completo silencio. El público no es rival para los nuevos auriculares con cancelación de ruido del equipo.		
caja_1_medio	rosa	UNO DEMASIADOS		Un uniforme extra de los Fulbos provocó el caos para el jugador/entrenador, [1], este fin de semana. Alinear a un jugador de más con un uniforme de más resultó en una victoria por cuarenta y ocho goles y la descalificación del equipo.		
caja_1_medio	rosa	IDENTIDAD ROBADA		[1] fue víctima recientemente de robo de identidad. La policía fue alertada del delito después de que el equipo contrario encajara una cantidad sospechosamente alta de goles. 		
caja_1_medio	rosa	LA VIDA DE UN PERRO		Una organización benéfica de realojamiento de animales financiada por [1] ha celebrado haber encontrado un hogar para su primer perro rescatado solo una semana después de que [1] lo abandonara.		
caja_1_medio	rosa	ROMPE RÉCORDS		La botella de whisky más grande del mundo se vendió recientemente a un comprador misterioso por más de 1 millón de dólares. En noticias no relacionadas, [1] fue reportado como desaparecido después de no presentarse a los entrenamientos durante los últimos cuatro días.		
caja_1_medio	rosa	UN NUEVO OBJETIVO		El delantero estrella, [1], ha decidido postularse para Presidente del Mundo. Ignoran el hecho de que ese cargo no existe.		
caja_1_medio	rosa	¡MANOS FUERA DE MÍ!		Después de demasiados incidentes de mano esta temporada, los aficionados piden que [1] sea sacado del mediocampo y seleccionado como el nuevo portero del equipo.		
caja_1_medio	rosa	AVES SEMILLA GANAN		Una bandada de gaviotas graznantes descendió anoche sobre el estadio de Río de Jamaica. [1] dijo a los periodistas que el ruido adicional de la multitud realmente ayudó al equipo a ganar.		
caja_1_medio	rosa	PARA REFLEXIONAR		[1] Comió treinta y una hamburguesas con queso antes del gran partido de anoche y, tras sufrir una humillante derrota por 6-0, dijo: "Quizás debería haberme detenido en treinta".		
caja_1_medio	rosa	CAMBIOS FANTASMAL		¿Están embrujados los vestuarios del Maximum Security FC? [1] insiste en que ha visto fantasmas de jugadores que cumplen condenas a muerte.		
caja_1_medio	rosa	DELICIA DEL DÍA DEL PERRO		[1] celebró el día nacional de "Trae a tu perro al trabajo" con un gol magnífico (marcado por el perro).		
